"","V1","V2","V3","V4"
"1","Statistics","French","IT","Chemistry"
"2","Math","Japanese","English","IT"
"3","IT","Maori","Math","Chemistry"
"4","IT","Chemistry","English","Maori"
"5","Painting","Math","Business","English"
"6","English","Statistics","IT","Psychology"
"7","French","Math","Painting","Maori"
"8","French","IT","Math","Physics"
"9","Math","English","French","IT"
"10","English","Math","Japanese","History"
"11","Statistics","Laws","English","Cooking"
"12","Business","Math","Japanese","English"
"13","Economics","Math","Chemistry","Mechanics"
"14","Math","IT","Geology","Painting"
"15","Geology","Math","Economics","Laws"
"16","English","Engineering","Biology","Math"
"17","IT","Biology","Cooking","Chemistry"
"18","English","P.E","Math","IT"
"19","Drawing","History","Spanish","Math"
"20","Math","Chemistry","English","IT"
"21","IT","Statistics","French","Maori"
"22","Drama","Accounting","Maori","Statistics"
"23","Maori","Economics","Cooking","Japanese"
"24","Math","English","Economics","Spanish"
"25","Math","Painting","P.E","Maori"
"26","Japanese","IT","Maori","Math"
"27","Math","English","Chemistry","Business"
"28","Maori","French","IT","Math"
"29","Math","Statistics","Drama","Physics"
"30","English","Math","Economics","Drama"
"31","Maori","Economics","English","Accounting"
"32","French","Math","Maori","English"
"33","Media Studies","Drama","Math","Maori"
"34","Math","Japanese","Spanish","Statistics"
"35","Woodwork","Math","Physics","Media Studies"
"36","Classics","English","IT","Engineering"
"37","IT","Maori","English","Biology"
"38","English","Maori","IT","History"
"39","Economics","Math","Spanish","Mechanics"
"40","English","Statistics","History","IT"
"41","English","Math","IT","Maori"
"42","Math","English","Maori","Classics"
"43","English","Math","French","IT"
"44","English","Laws","Math","IT"
"45","Japanese","Physics","English","Math"
"46","English","Math","History","Media Studies"
"47","History","English","IT","Business"
"48","IT","Business","Psychology","Engineering"
"49","Math","Media Studies","Maori","English"
"50","Woodwork","Japanese","Economics","IT"
"51","Chemistry","History","English","Japanese"
"52","Maori","History","Media Studies","Math"
"53","Economics","English","Math","IT"
"54","IT","Spanish","Accounting","Maori"
"55","Maori","English","Geology","IT"
"56","English","Math","Mechanics","P.E"
"57","Math","French","English","Biology"
"58","Economics","Math","Statistics","Physics"
"59","Math","English","Maori","History"
"60","Math","English","Maori","IT"
"61","Geology","Maori","English","Business"
"62","Mechanics","Economics","Math","Physics"
"63","Business","Politics","Math","Cooking"
"64","English","Math","Classics","Media Studies"
"65","Math","French","Statistics","Laws"
"66","Statistics","English","IT","Chemistry"
"67","Engineering","IT","Cooking","Painting"
"68","Math","Biology","Physics","Economics"
"69","English","History","Engineering","Math"
"70","English","IT","Politics","Physics"
"71","Chemistry","Statistics","Media Studies","English"
"72","French","Math","Business","English"
"73","Media Studies","Politics","Engineering","Math"
"74","English","Math","Chemistry","Mechanics"
"75","Maori","Math","English","French"
"76","Business","Math","French","Chemistry"
"77","P.E","Math","Cooking","Maori"
"78","English","Math","Economics","Psychology"
"79","Drama","Geology","P.E","Math"
"80","French","Business","Engineering","Statistics"
"81","Drawing","Math","Laws","English"
"82","Math","Engineering","P.E","English"
"83","English","IT","Maori","Engineering"
"84","Chemistry","Math","Drawing","Economics"
"85","English","Statistics","French","Psychology"
"86","English","Classics","Accounting","Psychology"
"87","Math","Statistics","French","IT"
"88","Painting","Geology","IT","Statistics"
"89","Physics","IT","English","Math"
"90","English","Math","Mechanics","Business"
"91","Japanese","French","Geology","Business"
"92","Psychology","Chemistry","Statistics","Business"
"93","Accounting","English","Painting","Mechanics"
"94","Laws","English","Statistics","Math"
"95","English","Media Studies","Cooking","Biology"
"96","English","Biology","Classics","Accounting"
"97","English","Math","Statistics","Business"
"98","Maori","Politics","Biology","English"
"99","Chemistry","Woodwork","Drawing","Japanese"
"100","IT","Biology","Math","Laws"
"101","Maori","Media Studies","History","Engineering"
"102","History","Woodwork","Maori","Geology"
"103","English","Japanese","Statistics","Math"
"104","Maori","Design","French","Math"
"105","Engineering","Math","Mechanics","Japanese"
"106","Maori","History","Classics","Math"
"107","Economics","Biology","Math","Laws"
"108","Math","IT","Statistics","Drawing"
"109","Business","Statistics","English","IT"
"110","Business","Math","Statistics","English"
"111","English","Math","Chemistry","Geology"
"112","Economics","English","Math","Media Studies"
"113","Psychology","English","Media Studies","Math"
"114","Psychology","Math","Maori","French"
"115","Economics","Math","Media Studies","Maori"
"116","Engineering","Math","French","History"
"117","Maori","Chemistry","Engineering","English"
"118","Japanese","English","IT","Psychology"
"119","Business","English","Statistics","Drama"
"120","English","Business","Math","Drawing"
"121","English","Drawing","IT","Maori"
"122","Politics","Design","Business","English"
"123","English","Politics","History","Drama"
"124","Laws","Biology","English","Economics"
"125","Physics","Maori","English","Math"
"126","Math","IT","English","Chemistry"
"127","French","Accounting","Business","IT"
"128","IT","Classics","Media Studies","English"
"129","Math","Design","IT","History"
"130","IT","English","Maori","Math"
"131","P.E","Statistics","English","Media Studies"
"132","Business","Statistics","Math","English"
"133","Math","Design","Statistics","Laws"
"134","Chemistry","IT","English","Math"
"135","IT","Mechanics","Drawing","English"
"136","Psychology","Business","Statistics","Accounting"
"137","Mechanics","Statistics","IT","Business"
"138","Japanese","Engineering","Biology","Physics"
"139","Business","English","Math","Statistics"
"140","English","Math","Statistics","Media Studies"
"141","Accounting","Drama","English","Math"
"142","Statistics","Media Studies","English","Math"
"143","Maori","Economics","English","Math"
"144","Psychology","English","Math","Maori"
"145","English","Math","Media Studies","Woodwork"
"146","Statistics","Drama","Media Studies","Math"
"147","Math","Japanese","Drama","Statistics"
"148","Statistics","Chemistry","Physics","IT"
"149","Statistics","IT","Design","French"
"150","Laws","English","IT","Math"
"151","Math","Biology","Mechanics","Economics"
"152","English","Math","Physics","Statistics"
"153","Engineering","English","Physics","Media Studies"
"154","Cooking","English","Math","IT"
"155","Math","Statistics","History","English"
"156","Statistics","Painting","Engineering","English"
"157","Statistics","Math","English","Engineering"
"158","Geology","English","Drama","Math"
"159","Math","History","Japanese","Media Studies"
"160","Media Studies","Math","Biology","History"
"161","Biology","Media Studies","Maori","English"
"162","IT","English","Math","Chemistry"
"163","IT","Math","Media Studies","Laws"
"164","Physics","Math","English","IT"
"165","English","French","P.E","Biology"
"166","Laws","IT","Maori","Math"
"167","Math","French","Statistics","English"
"168","History","Maori","Statistics","Woodwork"
"169","Accounting","Japanese","Math","Design"
"170","Math","Business","Maori","English"
"171","English","Math","Physics","Statistics"
"172","Cooking","Japanese","Math","IT"
"173","IT","Math","Statistics","Maori"
"174","Maori","Math","English","IT"
"175","Japanese","Business","Woodwork","Physics"
"176","Accounting","English","History","Math"
"177","Maori","Business","Math","Psychology"
"178","History","Business","Math","Japanese"
"179","Math","Biology","IT","Media Studies"
"180","Math","Physics","IT","English"
"181","Statistics","Math","French","English"
"182","Business","English","Math","IT"
"183","Laws","Math","Classics","Mechanics"
"184","French","Math","Media Studies","Woodwork"
"185","English","Physics","Spanish","Maori"
"186","English","Statistics","Math","Chemistry"
"187","Math","English","Japanese","Economics"
"188","History","Cooking","English","Chemistry"
"189","IT","Math","Engineering","English"
"190","English","Painting","History","Geology"
"191","Cooking","English","Laws","Statistics"
"192","Math","Japanese","English","Maori"
"193","Math","History","Biology","English"
"194","Physics","Media Studies","IT","Math"
"195","Engineering","Business","French","IT"
"196","Spanish","Drama","Media Studies","Math"
"197","Geology","IT","Physics","History"
"198","Japanese","Business","IT","English"
"199","English","Psychology","Maori","History"
"200","Cooking","English","Math","Design"
"201","English","Media Studies","Business","History"
"202","IT","Math","Geology","Spanish"
"203","French","English","Politics","Math"
"204","Math","English","Business","Engineering"
"205","P.E","Laws","IT","English"
"206","History","Math","Statistics","English"
"207","Math","IT","Politics","Media Studies"
"208","Math","Laws","Spanish","English"
"209","IT","Accounting","Math","Cooking"
"210","English","IT","Cooking","Media Studies"
"211","IT","Statistics","Math","Business"
"212","Business","Math","Economics","Spanish"
"213","English","Media Studies","Math","IT"
"214","English","Drawing","IT","Math"
"215","Woodwork","English","Drawing","Maori"
"216","Math","Politics","Business","Design"
"217","English","Biology","Economics","Woodwork"
"218","IT","Math","Business","Psychology"
"219","P.E","English","Media Studies","Maori"
"220","Math","Spanish","Media Studies","Woodwork"
"221","Math","Politics","Business","Drama"
"222","English","Engineering","Math","Japanese"
"223","IT","Math","English","Media Studies"
"224","Statistics","Politics","Chemistry","Math"
"225","English","Chemistry","Maori","Engineering"
"226","Painting","Psychology","History","Geology"
"227","Classics","Laws","Cooking","Math"
"228","English","IT","Laws","Math"
"229","IT","Business","English","Math"
"230","French","Woodwork","Spanish","Laws"
"231","French","Woodwork","IT","English"
"232","English","French","Math","Chemistry"
"233","Math","French","Painting","Cooking"
"234","English","Biology","Business","Mechanics"
"235","Biology","English","Math","Spanish"
"236","Psychology","Math","IT","Japanese"
"237","Cooking","Geology","Painting","Math"
"238","Accounting","Media Studies","Business","Politics"
"239","Maori","Math","Economics","Spanish"
"240","Math","English","Politics","Statistics"
"241","Drawing","Politics","Math","Chemistry"
"242","P.E","Media Studies","Math","English"
"243","Drama","History","Media Studies","Chemistry"
"244","P.E","Physics","IT","Engineering"
"245","Math","English","Accounting","IT"
"246","Painting","Drama","Statistics","Math"
"247","English","Statistics","IT","Math"
"248","Chemistry","Economics","Biology","Math"
"249","Math","Business","English","Psychology"
"250","French","English","Chemistry","Politics"
