"","V1","V2","V3","V4"
"1","Media Studies","IT","Laws","French"
"2","Biology","Geology","Physics","IT"
"3","Math","English","Statistics","IT"
"4","Math","Spanish","Statistics","P.E"
"5","Spanish","History","English","Psychology"
"6","History","Statistics","English","Math"
"7","Math","Drawing","IT","Statistics"
"8","Spanish","IT","Maori","Statistics"
"9","Geology","Politics","Physics","Drama"
"10","Politics","Engineering","Math","Chemistry"
"11","Math","History","Spanish","Business"
"12","Statistics","Media Studies","IT","Business"
"13","Statistics","IT","Geology","Economics"
"14","English","Woodwork","Statistics","Math"
"15","Laws","IT","Economics","Maori"
"16","Japanese","English","French","Media Studies"
"17","Engineering","Statistics","English","Math"
"18","English","Business","Engineering","Economics"
"19","English","IT","Maori","Math"
"20","French","IT","Media Studies","Japanese"
"21","Biology","Math","French","Classics"
"22","Psychology","IT","Business","Math"
"23","French","English","Drama","Math"
"24","Physics","Business","Statistics","Math"
"25","Math","French","Maori","IT"
"26","Chemistry","Math","English","Physics"
"27","Statistics","Maori","Economics","Design"
"28","Math","Geology","Media Studies","IT"
"29","Accounting","Maori","French","English"
"30","Math","English","Media Studies","French"
"31","French","History","Math","Geology"
"32","Math","Painting","English","Laws"
"33","Math","English","Media Studies","Geology"
"34","Math","Engineering","P.E","Drawing"
"35","English","Statistics","IT","Business"
"36","Maori","Laws","Media Studies","Math"
"37","IT","Drama","Statistics","Maori"
"38","Math","Statistics","Business","English"
"39","Drama","Engineering","Laws","Business"
"40","Math","Economics","Mechanics","IT"
"41","Maori","French","Japanese","P.E"
"42","Chemistry","Math","Classics","English"
"43","Woodwork","Math","English","Drawing"
"44","Business","Math","English","Economics"
"45","IT","Maori","Classics","Math"
"46","Woodwork","Statistics","Math","History"
"47","Math","English","Maori","Engineering"
"48","English","Statistics","Math","Economics"
"49","IT","English","P.E","Chemistry"
"50","Math","Physics","Cooking","Economics"
"51","Mechanics","Engineering","Japanese","English"
"52","Laws","English","Business","Media Studies"
"53","Chemistry","English","French","IT"
"54","Math","Drama","Classics","Engineering"
"55","Statistics","Design","Biology","Media Studies"
"56","Spanish","Psychology","English","Geology"
"57","Chemistry","Drawing","English","Physics"
"58","English","IT","Engineering","History"
"59","Japanese","English","Business","Math"
"60","Math","English","IT","Geology"
"61","Painting","Woodwork","Geology","Biology"
"62","IT","Math","Economics","Geology"
"63","Biology","P.E","English","Math"
"64","Media Studies","Accounting","IT","English"
"65","Math","Statistics","IT","Engineering"
"66","English","Maori","Math","Business"
"67","English","Physics","Psychology","IT"
"68","English","Psychology","Design","Math"
"69","Math","Chemistry","IT","Politics"
"70","Math","English","Cooking","Spanish"
"71","French","Business","P.E","History"
"72","English","Laws","Chemistry","Math"
"73","History","Math","Statistics","English"
"74","Chemistry","Math","English","Media Studies"
"75","Drama","Laws","Chemistry","Maori"
"76","Classics","Japanese","Spanish","Engineering"
"77","Economics","Drawing","Math","Media Studies"
"78","Politics","Engineering","Math","English"
"79","IT","Media Studies","Politics","Statistics"
"80","English","Math","P.E","Media Studies"
"81","English","French","History","Media Studies"
"82","Cooking","Statistics","Math","Media Studies"
"83","Japanese","Math","Drawing","Mechanics"
"84","Statistics","English","Chemistry","IT"
"85","Math","French","Woodwork","Engineering"
"86","Statistics","English","Math","Chemistry"
"87","Economics","English","Design","Math"
"88","P.E","Math","English","Statistics"
"89","Physics","History","Statistics","Biology"
"90","English","Spanish","Business","History"
"91","IT","English","Geology","Biology"
"92","Japanese","English","Math","Statistics"
"93","History","Statistics","Media Studies","Accounting"
"94","Economics","Math","IT","Japanese"
"95","History","Laws","Media Studies","Maori"
"96","Math","Drama","IT","Statistics"
"97","Maori","Spanish","Media Studies","English"
"98","English","Japanese","History","Chemistry"
"99","Politics","IT","Statistics","Math"
"100","Math","Economics","Mechanics","Classics"
